term,E,P,A,E2,P2,A2
married,2.38,2.38,0.22,2.38,2.38,0.22
masculine,1.49,2.14,1.23,1.49,2.14,1.23
mature,2.72,2.56,-0.76,2.72,2.56,-0.76
mean,-2.72,1.02,1.44,-2.72,1.02,1.44
mediocre,-1.42,-1.55,-1.16,-1.42,-1.55,-1.16
meek,0.06,-1.2,-1.94,0.06,-1.2,-1.94
melancholic,-1.47,-1.64,-2.27,-1.47,-1.64,-2.27
mentally_ill,-1.95,-1.65,-1,-1.95,-1.65,-1
mentally_retarded,-1.11,-1.45,-0.99,-1.11,-1.45,-0.99
merry,2.94,1.84,1.91,2.94,1.84,1.91
messy,-1.84,-0.72,1.14,-1.84,-0.72,1.14
methodical,1.66,1.35,-1.3,1.66,1.35,-1.3
middle_aged,0.46,1.07,-0.37,0.46,1.07,-0.37
middle_class,1.1,0.57,0.18,1.1,0.57,0.18
mischievous,-1.24,0.55,-0.05,-1.24,0.55,-0.05
miserable,-3.04,-1.57,-1.78,-3.04,-1.57,-1.78
miserly,-1.97,-0.42,-1.39,-1.97,-0.42,-1.39
mocking,-2.1,0.26,1.24,-2.1,0.26,1.24
model,1.94,1.72,0.36,1.94,1.72,0.36
modern,1.09,1.15,1.53,1.09,1.15,1.53
modest,2.29,1.34,-1.46,2.29,1.34,-1.46
moody,-1.82,-0.77,0.47,-1.82,-0.77,0.47
mortified,-2.74,-0.74,-0.46,-2.74,-0.74,-0.46
motivated,3.64,3.31,1.56,3.64,3.31,1.56
mournful,-1.63,0.18,-2.47,-1.63,0.18,-2.47
moved,2.66,2.55,-0.64,2.66,2.55,-0.64
naive,-1.15,-1.75,-1.13,-1.15,-1.75,-1.13
narrowminded,-3.04,-2.01,-0.64,-3.04,-2.01,-0.64
nasty,-2.83,-0.58,0.82,-2.83,-0.58,0.82
nauseated,-3.22,-0.99,-0.8,-3.22,-0.99,-0.8
neighborly,2.68,1.68,0.1,2.68,1.68,0.1
nervous,-1.38,-0.68,0.31,-1.38,-0.68,0.31
neurotic,-1.48,-0.3,1.16,-1.48,-0.3,1.16
nice,3.36,2.56,-0.22,3.36,2.56,-0.22
no_emotion,-2.18,-1.36,-2.86,-2.18,-1.36,-2.86
noble,2.91,2.46,0.04,2.91,2.46,0.04
noisy,-1.12,0.49,3.27,-1.12,0.49,3.27
nonchalant,0.41,0.13,-1.81,0.41,0.13,-1.81
nosey,-1.83,-0.43,0.9,-1.83,-0.43,0.9
nostalgic,0.94,0.63,-1.57,0.94,0.63,-1.57
obedient,1.61,-0.27,-1.02,1.61,-0.27,-1.02
obligated,-0.68,0.55,-0.23,-0.68,0.55,-0.23
oblivious,-1.96,-1.67,-1.52,-1.96,-1.67,-1.52
obnoxious,-2.84,0.64,2.24,-2.84,0.64,2.24
obsessive_compulsive,-1.56,-1.03,0.77,-1.56,-1.03,0.77
obstinant,-0.01,0.66,0.06,-0.01,0.66,0.06
offended,-2.34,-0.49,0.41,-2.34,-0.49,0.41
offensive,-2.47,0.02,1.2,-2.47,0.02,1.2
old,0.39,0.78,-1.82,0.39,0.78,-1.82
old_fashioned,0.71,0.42,-1.55,0.71,0.42,-1.55
open,2.03,1.88,0.57,2.03,1.88,0.57
open_minded,3.01,2.78,0.21,3.01,2.78,0.21
opportunistic,2.45,2.26,1.4,2.45,2.26,1.4
optimistic,2.95,2.71,1.22,2.95,2.71,1.22
ordinary,-0.65,-1.14,-1.5,-0.65,-1.14,-1.5
organized,2.87,2.33,-0.55,2.87,2.33,-0.55
original,2.89,2.41,-0.01,2.89,2.41,-0.01
ostentatious,-0.46,0.88,1.47,-0.46,0.88,1.47
outgoing,2.24,2.15,2.15,2.24,2.15,2.15
outrage,-1.83,1.3,2.36,-1.83,1.3,2.36
outraged,-1.66,0.5,2.34,-1.66,0.5,2.34
outspoken,1.01,2.08,2.12,1.01,2.08,2.12
overbearing,-1.96,1.08,1.37,-1.96,1.08,1.37
overconfident,-1.19,0.53,1.76,-1.19,0.53,1.76
overjoyed,3.06,2.71,2.54,3.06,2.71,2.54
overwhelmed,-2.6,-0.2,1.69,-2.6,-0.2,1.69
panicked,-2.52,-1.35,2.09,-2.52,-1.35,2.09
paranoid,-2.52,-0.68,0.17,-2.52,-0.68,0.17
passionate,2.81,2.88,1.92,2.81,2.88,1.92
passive,-0.82,-1.45,-2.01,-0.82,-1.45,-2.01
patient,2.89,2.27,-2.08,2.89,2.27,-2.08
peaceful,3.31,2.47,-1.75,3.31,2.47,-1.75
peeved,-1.94,-0.45,0.36,-1.94,-0.45,0.36
pensive,1.39,0.86,-1.78,1.39,0.86,-1.78
perceptive,2.52,2.27,-0.32,2.52,2.27,-0.32
permissive,-0.12,-0.62,-1.01,-0.12,-0.62,-1.01
persecuted,-2.56,-0.08,0.75,-2.56,-0.08,0.75
persistent,2.1,2.27,1.4,2.1,2.27,1.4
persuasive,1.34,2.6,0.72,1.34,2.6,0.72
pessimistic,-2.25,-0.79,-0.38,-2.25,-0.79,-0.38
petrified,-2.86,-1.05,0.1,-2.86,-1.05,0.1
petty,-1.5,-1,0.24,-1.5,-1,0.24
phobic,-2.29,-1.61,0.31,-2.29,-1.61,0.31
pitiful,-2.14,-2.12,-1.87,-2.14,-2.12,-1.87
placid,0.08,-0.55,-1.54,0.08,-0.55,-1.54
plain,-0.59,-1.19,-1.63,-0.59,-1.19,-1.63
playful,2.32,0.68,1.86,2.32,0.68,1.86
pleased,3.01,2.17,-0.1,3.01,2.17,-0.1
poised,1.77,1.33,-0.84,1.77,1.33,-0.84
polite,3.42,2.33,-0.89,3.42,2.33,-0.89
pompous,-1.66,0.25,1.45,-1.66,0.25,1.45
poor,-2.06,-2.16,-1.52,-2.06,-2.16,-1.52
popular,1.1,1.85,1.86,1.1,1.85,1.86
possessive,-1.58,0.46,1.06,-1.58,0.46,1.06
powerful,2.03,3.63,1.79,2.03,3.63,1.79
powerless,-2.67,-3.52,-2.02,-2.67,-3.52,-2.02
practical,2.17,1.78,-0.32,2.17,1.78,-0.32
prejudiced,-2.91,-0.18,0.77,-2.91,-0.18,0.77
preoccupied,-0.59,-0.28,0.08,-0.59,-0.28,0.08
presumptuous,-1.41,-0.26,1.08,-1.41,-0.26,1.08
pretty,2.45,1.81,0.57,2.45,1.81,0.57
principled,1.85,1.51,-0.09,1.85,1.51,-0.09
promiscuous,-1.75,-0.36,1.57,-1.75,-0.36,1.57
proud,2.12,2.25,1.2,2.12,2.25,1.2
provocative,-0.42,0.99,1.26,-0.42,0.99,1.26
psychotic,-2.36,-0.79,1.55,-2.36,-0.79,1.55
quarrelsome,-1.99,0.17,2.16,-1.99,0.17,2.16
quiet,0.68,0.09,-2.75,0.68,0.09,-2.75
rational,2.8,2.29,-0.68,2.8,2.29,-0.68
