term,E,P,A,E2,P2,A2
rebellious,-1.56,-0.4,1.24,-1.56,-0.4,1.24
reckless,-1.37,-1.23,2.01,-1.37,-1.23,2.01
regretful,-0.6,-0.27,-0.2,-0.6,-0.27,-0.2
relaxed,2.48,0.95,-2.21,2.48,0.95,-2.21
remorseful,-0.47,-0.08,0.63,-0.47,-0.08,0.63
repentant,-0.67,0.34,0.67,-0.67,0.34,0.67
resentful,-1.54,-1.06,0.24,-1.54,-1.06,0.24
responsible,2.27,2.01,-0.65,2.27,2.01,-0.65
rich,1.98,1.58,0.78,1.98,1.58,0.78
rude,-2.78,-1.42,1.71,-2.78,-1.42,1.71
ruthless,-1.6,-0.25,1.36,-1.6,-0.25,1.36
sad,-2.04,-0.58,0.28,-2.04,-0.58,0.28
sadistic,-2.37,-1.38,0.83,-2.37,-1.38,0.83
saintly,-0.03,-0.19,-0.08,-0.03,-0.19,-0.08
sarcastic,-1.73,-1.3,1.55,-1.73,-1.3,1.55
satisfied,2.73,1.89,-0.99,2.73,1.89,-0.99
self_denying,-1.94,-1.65,0.11,-1.94,-1.65,0.11
self_pitying,-0.65,-1.27,-1.16,-0.65,-1.27,-1.16
self_righteous,-0.79,-0.87,0.47,-0.79,-0.87,0.47
self_satisfied,2.4,1.61,-0.46,2.4,1.61,-0.46
selfish,-2.44,-1.6,1.41,-2.44,-1.6,1.41
sensitive,0.77,-0.19,-1.24,0.77,-0.19,-1.24
sentimental,1.34,-0.17,-1.42,1.34,-0.17,-1.42
serene,2.52,1.63,-1.94,2.52,1.63,-1.94
shrewd,1.08,1.17,-0.16,1.08,1.17,-0.16
shy,0.14,-1.13,-1.59,0.14,-1.13,-1.59
sly,-2.3,-1.28,0.74,-2.3,-1.28,0.74
smug,-0.42,-0.45,1,-0.42,-0.45,1
soft_spoken,0.39,-0.47,-1.53,0.39,-0.47,-1.53
sorry,0.7,0.04,-1.03,0.7,0.04,-1.03
spiteful,-2.11,-1.46,0.86,-2.11,-1.46,0.86
stingy,-2,-1.78,0.08,-2,-1.78,0.08
strict,0.73,1.21,0.3,0.73,1.21,0.3
stubborn,-0.76,0.74,1.12,-0.76,0.74,1.12
stupid,-1.77,-1.17,-0.16,-1.77,-1.17,-0.16
submissive,-1.37,-1.44,-0.7,-1.37,-1.44,-0.7
suicidal,-2.26,-2.26,1.02,-2.26,-2.26,1.02
suspicious,-1.37,-0.77,0.73,-1.37,-0.77,0.73
sympathetic,1.95,1.34,-1.22,1.95,1.34,-1.22
tactful,2.44,1.45,-0.92,2.44,1.45,-0.92
temperamental,-1.36,-0.84,1.61,-1.36,-0.84,1.61
terrified,-2.47,-0.65,1,-2.47,-0.65,1
thankful,1.52,0.91,-0.33,1.52,0.91,-0.33
thoughtless,-2.23,-1.3,1.27,-2.23,-1.3,1.27
tolerant,2.74,1.92,-1.6,2.74,1.92,-1.6
touched,0.4,-0.33,-0.91,0.4,-0.33,-0.91
unadventurous,-1.09,-1.54,-1.08,-1.09,-1.54,-1.08
unambitious,-2.01,-2.03,-0.71,-2.01,-2.03,-0.71
uncomfortable,-1.78,-0.87,0.69,-1.78,-0.87,0.69
uneasy,-1.83,-1.27,0.45,-1.83,-1.27,0.45
unfriendly,-1.57,-1.08,0.24,-1.57,-1.08,0.24
unhappy,-2.18,-1.22,-0.25,-2.18,-1.22,-0.25
unimaginative,-1.3,-1.78,-0.67,-1.3,-1.78,-0.67
unpopular,-0.67,-0.53,0.05,-0.67,-0.53,0.05
unreliable,-2.07,-2.14,1.08,-2.07,-2.14,1.08
vain,-1.55,-1.2,0.56,-1.55,-1.2,0.56
vengeful,-2.09,-1.1,1.6,-2.09,-1.1,1.6
violent,-2.48,-0.77,1.79,-2.48,-0.77,1.79
virtuous,2.65,1.85,-1.87,2.65,1.85,-1.87
warm,2.08,0.98,-1.23,2.08,0.98,-1.23
wise,2.25,1.7,-1.31,2.25,1.7,-1.31
withdrawn,-1.28,-1.66,-0.98,-1.28,-1.66,-0.98
worried,-1.77,-1.18,1.16,-1.77,-1.18,1.16
young,1,-0.12,0.03,1,-0.12,0.03
