,E-m,P-m,A-m,E-f,P-f,A-f,
,Evaluation,Potency,Activity,Evaluation,Potency,Activity,< Dimension
,Male,Male,Male,Female,Female,Female,< Participant gender
contentment,2.35952381,0.95952381,-1.473809524,2.49047619,1.578571429,-1.476190476,
continuity,1.712820513,1.274358974,0.041025641,1.530952381,0.630952381,-0.261904762,
control,1.523529412,2.547058824,0.258823529,0.938636364,2.384090909,0.284090909,
coolness,1.375,1.09,0.1075,1.353333333,1.031111111,-0.168888889,
cooperation,2.323529412,1.979411765,0.502941176,2.595454545,1.970454545,-0.077272727,
corruption,-2.9425,1.315,0.8325,-3.202325581,0.253488372,1.513953488,
courage,2.747368421,2.828947368,1.147368421,3.208888889,3.34,1.213333333,
courtesy,2.5475,1.175,-0.13,3.18,1.46,-0.497777778,
creativity,2.59047619,2.145238095,1.178571429,2.872727273,2.204545455,0.411363636,
credibility,2.552380952,2.111904762,-0.507142857,2.654761905,2.585714286,-0.180952381,
cunning,-0.144186047,0.730232558,0.095348837,-0.758695652,1.180434783,0.232608696,
curiosity,1.661904762,1.204761905,0.65,1.552380952,1.35952381,0.833333333,
curious ,1.575,0.963888889,0.3,1.715909091,1.65,0.786363636,
daring,1.04047619,2.15952381,1.980952381,0.73255814,2.006976744,2.662790698,
decisiveness,1.876190476,2.34047619,0.702380952,1.885714286,2.488095238,0.69047619,
deference,0.214705882,-0.517647059,-1.123529412,0.422857143,-0.282857143,-1.022857143,
delight,2.274285714,1.3,0.437142857,2.725,1.609090909,0.638636364,
dependability,2.207317073,1.57804878,-0.782926829,2.664285714,1.654761905,-0.221428571,
depth,1.746153846,1.197435897,-0.330769231,2.238095238,1.89047619,-0.928571429,
desire,1.255813953,0.995348837,0.911627907,1.133333333,1.271428571,0.971428571,
detachment,-1.005555556,-0.777777778,-1.502777778,-0.975,-0.309090909,-1.518181818,
determination,2.529545455,2.597727273,1.034090909,2.351111111,2.751111111,0.844444444,
development,2.11,1.7025,0.985,1.557142857,1.50952381,0.883333333,
devotion,2.43902439,1.487804878,-0.273170732,2.219047619,1.707142857,-0.714285714,
devout ,1.248484848,0.757575758,-1.175757576,0.475609756,0.363414634,-0.741463415,
dexterity,1.968292683,1.436585366,1.107317073,1.831707317,1.72195122,0.629268293,
dialogue,1.688095238,1.2,0.604761905,1.266666667,1.121428571,0.454761905,
dignity,2.623255814,2.246511628,-0.734883721,2.804761905,2.597619048,-1.126190476,
diligence,2.219047619,1.828571429,-0.05,1.911904762,1.995238095,0.123809524,
direction,1.431707317,1.256097561,0.646341463,1.672093023,1.688372093,0.306976744,
discipline,2.195238095,2.333333333,-0.595238095,2.069047619,2.285714286,-0.352380952,
discovery,2.173684211,1.726315789,1.181578947,2.533333333,1.797777778,1.248888889,
discretion,1.480555556,0.708333333,-1.152777778,1.959090909,0.847727273,-1.936363636,
discrimination,-2.58974359,-0.882051282,1.012820513,-3.277777778,-1.268888889,1.231111111,
diversity,1.547058824,1.232352941,0.452941176,2.247619048,2.078571429,0.616666667,
dominance,0.158139535,2.741860465,1.460465116,-0.380952381,2.526190476,1.454761905,
drive,2.180952381,2.185714286,2.171428571,1.902325581,2.639534884,2.06744186,
duty,1.597560976,1.714634146,0.312195122,1.25952381,1.416666667,0.235714286,
dynamism,1.457575758,1.484848485,1.642424242,1.672222222,2.347222222,2.502777778,
eagerness,0.971794872,0.717948718,1.815384615,2.013636364,1.604545455,2.406818182,
ease,1.823076923,0.28974359,-1.446153846,2.422222222,0.668888889,-1.531111111,
ease with uncertainty,0.965,0.35,-0.7575,0.364285714,-0.20952381,-1.392857143,
