term,E,P,A,E2,P2,A2
shocked,-0.76,-0.34,0.82,-0.76,-0.34,0.82
shook_up,-1.89,-1.34,0.76,-1.89,-1.34,0.76
showy,-1.07,0.35,2.13,-1.07,0.35,2.13
shrewd,-0.04,0.52,0.22,-0.04,0.52,0.22
shy,-0.45,-1.87,-2.42,-0.45,-1.87,-2.42
sickened,-2.62,-1.47,-0.73,-2.62,-1.47,-0.73
silly,1.57,0.27,1.63,1.57,0.27,1.63
simpleminded,-1.25,-1.97,-1.58,-1.25,-1.97,-1.58
sincere,3.15,1.87,-0.5,3.15,1.87,-0.5
single,0.2,0.12,-0.13,0.2,0.12,-0.13
skeptical,1,0.5,-0.37,1,0.5,-0.37
slack,-1.59,-1.7,-2.17,-1.59,-1.7,-2.17
sloppy,-2.18,-1.2,-0.3,-2.18,-1.2,-0.3
slothful,-2.12,-2.11,-3.2,-2.12,-2.11,-3.2
sluggish,-2.07,-2.27,-3.14,-2.07,-2.27,-3.14
sly,-0.7,0.48,-0.94,-0.7,0.48,-0.94
smug,-1.6,-0.06,-0.26,-1.6,-0.06,-0.26
sniveling,-2.49,-1.98,-0.03,-2.49,-1.98,-0.03
snobbish,-2.65,-0.6,0.9,-2.65,-0.6,0.9
snooty,-2.62,-0.52,0.87,-2.62,-0.52,0.87
snowed,-1.35,-0.75,-0.52,-1.35,-0.75,-0.52
sociable,2.34,1.75,1.93,2.34,1.75,1.93
soft_spoken,0.61,-0.83,-1.99,0.61,-0.83,-1.99
softhearted,1.95,0.49,-0.9,1.95,0.49,-0.9
solemn,0.5,-0.23,-2.21,0.5,-0.23,-2.21
sophisticated,2.02,1.7,0.11,2.02,1.7,0.11
sorrowful,-1.59,-1.47,-1.95,-1.59,-1.47,-1.95
sorry,0.65,-0.49,-1.24,0.65,-0.49,-1.24
spacey,-1.38,-1.63,-1.74,-1.38,-1.63,-1.74
spirited,2.51,1.82,1.74,2.51,1.82,1.74
spiteful,-2.38,-1.3,0.09,-2.38,-1.3,0.09
spoiled,-1.81,-0.25,0.82,-1.81,-0.25,0.82
squeamish,-1.74,-1.56,-0.14,-1.74,-1.56,-0.14
stable,2.81,1.84,-1,2.81,1.84,-1
steadfast,2.04,1.58,0.01,2.04,1.58,0.01
stingy,-1.72,-0.44,-0.86,-1.72,-0.44,-0.86
stoned,-0.84,-1.05,-1.2,-0.84,-1.05,-1.2
straightforward,2.37,1.71,1.06,2.37,1.71,1.06
strange,0.2,-0.06,0.21,0.2,-0.06,0.21
strict,-0.13,1.52,1.1,-0.13,1.52,1.1
strong,2.71,2.91,0.96,2.71,2.91,0.96
strong_willed,1.9,2.2,1.28,1.9,2.2,1.28
stubborn,-1.35,-0.19,-0.03,-1.35,-0.19,-0.03
studious,2.6,1.33,-0.69,2.6,1.33,-0.69
