term,E,P,A,E2,P2,A2
construction_laborer,1.68,1.1,2.37,1.68,1.1,2.37
consultant,1.25,1.24,0.87,1.25,1.24,0.87
consumer,1.37,0.54,0.83,1.37,0.54,0.83
convict,-2.5,-1.19,0.98,-2.5,-1.19,0.98
cook,1.73,1.02,1.82,1.73,1.02,1.82
cop,1.11,2.53,1.95,1.11,2.53,1.95
copycat,-1.79,-1.12,0.49,-1.79,-1.12,0.49
coroner,1.3,0.64,-0.58,1.3,0.64,-0.58
corporate_person,0.11,1.73,1.34,0.11,1.73,1.34
cosmetologist,1.39,0.17,1.11,1.39,0.17,1.11
counselor,2.36,1.69,0.04,2.36,1.69,0.04
cousin,1.74,0.28,0.43,1.74,0.28,0.43
coward,-2.35,-2.82,-1.66,-2.35,-2.82,-1.66
craftsman,2.3,1.22,1.5,2.3,1.22,1.5
crane_operator,1.5,1.46,1.47,1.5,1.46,1.47
creditor,-0.65,1.69,0.96,-0.65,1.69,0.96
criminal,-3.06,0.11,1.18,-3.06,0.11,1.18
cripple,-0.46,-1.79,-1.77,-0.46,-1.79,-1.77
critic,-0.02,1.38,1.1,-0.02,1.38,1.1
crook,-3.17,-0.01,1.02,-3.17,-0.01,1.02
crybaby,-2.14,-2.05,2.02,-2.14,-2.05,2.02
culprit,-2.24,-0.13,0.87,-2.24,-0.13,0.87
custodian,1.43,-0.66,0.37,1.43,-0.66,0.37
customer,1.7,1.22,0.9,1.7,1.22,0.9
customer_support_representative,0.88,-0.49,0.85,0.88,-0.49,0.85
customer_systems_analyst,1.07,0.54,0.14,1.07,0.54,0.14
customs_officer,0.82,1.36,0.96,0.82,1.36,0.96
cutthroat,-2.46,1.45,1.8,-2.46,1.45,1.8
cynic,-0.78,-0.54,0.24,-0.78,-0.54,0.24
dairy_farmer,1.99,0.56,0.83,1.99,0.56,0.83
daredevil,0.18,1.7,2.78,0.18,1.7,2.78
daughter,2.33,0.29,0.99,2.33,0.29,0.99
daughter_in_law,1.43,0.12,0.38,1.43,0.12,0.38
deadbeat,-2.75,-2.15,-2.22,-2.75,-2.15,-2.22
deadbeat_dad,-3.14,-2.04,-1.79,-3.14,-2.04,-1.79
decorator,1.65,0.86,0.99,1.65,0.86,0.99
defendant,-0.02,-0.76,-0.1,-0.02,-0.76,-0.1
