interviewer,0.6265,1.8248,0.8213,1.2082,0.1554,-0.0948,0.1554,1.9786,0.0934,-0.0948,0.0934,2.8783
critic,-0.4641,1.5872,1.3773,1.579,-0.0636,-0.5094,-0.0636,1.9858,0.5362,-0.5094,0.5362,1.9362
runaway,-0.7221,-0.4476,0.3845,2.8096,1.5568,1.3897,1.5568,4.592,1.709,1.3897,1.709,4.9986
priest,2.041,2.2902,-0.8888,3.0046,1.2909,-0.3211,1.2909,2.1747,-0.0928,-0.3211,-0.0928,3.4709
assailant,-2.2521,1.575,0.925,2.9857,-1.3452,-0.6918,-1.3452,2.6104,0.7695,-0.6918,0.7695,3.688
sheriff,1.0766,2.5252,1.0924,2.7016,0.6801,1.1627,0.6801,1.8502,1.1819,1.1627,1.1819,3.4812
chef,1.9207,1.4692,1.8163,1.5947,1.1187,0.9504,1.1187,2.4524,1.5307,0.9504,1.5307,2.2959
street musician,1.3749,-0.5664,1.7997,1.655,0.6063,0.3675,0.6063,2.9763,-0.282,0.3675,-0.282,1.554
musician,1.8783,1.3559,1.72,1.8643,0.7566,0.4408,0.7566,3.292,-0.1012,0.4408,-0.1012,2.4801
unwed parent,-0.2037,0.1342,0.1888,2.2254,0.4446,0.3909,0.4446,2.7179,0.3415,0.3909,0.3415,1.9614
cabinet member,0.561,1.8471,0.4902,2.0962,-0.1243,-0.3508,-0.1243,3.5524,-0.1347,-0.3508,-0.1347,3.7763
grownup,1.0112,2.0095,0.0786,2.0392,1.3036,0.0895,1.3036,1.7329,0.0954,0.0895,0.0954,3.1279
womanizer,-1.9268,0.8321,1.7193,3.5029,0.6003,-0.9799,0.6003,3.4508,-0.2176,-0.9799,-0.2176,2.3095
bridesmaid,2.145,0.4143,1.1325,1.636,0.8015,0.7436,0.8015,2.1829,1.1515,0.7436,1.1515,2.5921
optical engineer,1.6638,1.4304,-0.3388,1.3995,0.4742,0.0223,0.4742,1.4395,-0.1135,0.0223,-0.1135,1.526
customs officer,0.2674,1.3537,-0.0296,2.0045,-0.1828,0.1994,-0.1828,1.3865,0.3796,0.1994,0.3796,2.1862
accountant,1.0887,1.256,-0.4051,1.3221,0.5992,0.2913,0.5992,2.2971,1.5672,0.2913,1.5672,4.0762
cosmetologist,1.4123,0.3669,0.5319,1.3868,0.9324,0.0755,0.9324,2.3871,0.4484,0.0755,0.4484,2.8298
