term,label
lawclrk4judge,law clerk for judge
machinist,Machinist
mailclrkprivco,Mailroom Clerk for a Private Company
mailsorter,post office mail sorter
mathengtech,mathematical engineering technician
medtranscriber,medical transcriber
metalplater,Metal Plater
motionpicproj,motion picture projectionist
mrchntseaman,Merchant Seaman
navysailor,sailor in Navy
nukeengineer,Nuclear engineers
oilrigwrkr,oil rig worker
operationsanal,operations analyst
optometrist,Optometrist
paralegals,Paralegals
partycaterer,party caterer
phystherapist,Physical therapists
postofficeclerk,Post Office Clerk
purchclerk,purchasing clerk
radiotester,Radio Tester
restauranthost,restaurant host
roofer,Roofer
shipscapt,Ship's Captain
socialsci,Social Scientist
statisticalclrk,statistical clerk
techmanualwritr,Writer of Technical Manuals
toolpgmrmfgplnt,Tool Programmer in a Manufacturing Plant
weightstnoper,weight station operator
wildlifetech,wildlife technician
woodmiller,Wood Miller
woodtech,wood technologist
actor,actor
advertsalesman,Advertising Salesman
airflghtattnd,Airline flight attendant
autobodyrpr,autobody repairer
balletdancer,Ballet Dancer
biomedeng,biomedical engineer
bkbindmchoper,Bookbinding Machine Operator
carpentershlpr,Carpenter's Helper
cashiersuper,cashier supervisor
clrkinhotel,Desk Clerk in a Hotel
cnstrctnforeman,Construction Foreman
cosmetologist,cosmetologist
cottonpicker,Cotton Picker
countysheriff,County Sheriff
courtclerk,Court Clerk
d2dsaleswoman,Door-to-Door Saleswoman
daycarewrkr,day care worker
dietitian,Dietitian
enviengineer,environmental engineer
epmloymntclrk,Employment Clerk
farmprdcbuyer,Farm Produce Buyer
fileclerk,File Clerk
fireinspector,Fire Inspector
fortuneteller,Fortune Teller
garbagecoll,Garbage Collector
gencontractor,general contractor
hrconsultant,human resources consultant
irrgtnpumpinstl,Irrigation Pump Installer
lifescientist,Life scientist
marketmgr,Marketing manager
medicasst,Medical assistants
mssagetherpst,massage therapist
mtrrdrgaselecco,Meter Reader for a Gas or Electric Company
oilexploreng,Oil Exploration Engineer
oilrefequipoper,Oil Refining Equipment Operator
phtocpymchoper,Photocopying-Machine Operator
pknglotattn,Parking Lot Attendant
policelt,Police Lieutenant
policeofficer,Police Officer
priest,Priest
pubprkgcsuper,Ground Crew Supervisor in a Public Park
pumphouseeng,Pump-House Engineer
receptionist,Receptionist
religeddirector,Religious Education Director
schoolcounselor,School Counselor
schoolprin,School Principal
schxngguard,School-Crossing Guard
shoemaker,Shoemaker
signpainter,Sign Painter
stockbroker,stock broker
surveyor,Surveyor
termiteexterm,termite exterminator
tourguide,tour guide
watchassmblr,Watch Assembler
waterwelldrillr,Water Well Driller
xraytech,X-ray Technician
aeronauteng,Aeronautical Engineer
author,Author
brglralrminstlr,burglar alarm installer
carpetinstlr,carpet installer
chemlabtech,chemical laboratory technician
counselor,Counselors
crftmovestim,Crating and Moving Estimator
crushmchnoper,Crushing-Machine Operator
dishwasher,dishwasher
doctor,Doctor
doggroomer,dog groomer
dynamiteblastr,Dynamite Blaster
elecpowrlinemn,electric power lineman
elecpwrstnattn,Electric Power Station Attendant
electrician,Electrician
engraver,Engraver
farmlaborer,Farm Laborer
footdoctor,foot doctor
furnfacstapler,Stapling-Machine Operator in a Furniture Factory
giftwrprdptstr,Gift Wrapper in a Department Store
keymaker,Key Maker
kgteacher,kindergarten teachers
kitchnstewrd,kitchen steward
logger,Logger
logistplanner,logistics planner
longshoerman,Longshoreman
loomoperator,Loom Operator
matereng,Materials engineers
mecheng,Mechanical Engineer
mgmtconsultnt,Management Consultant
movthtrmgr,Manager of a Movie Theater
mseumsecchief,Museum Security Chief
mtlcasrfndry,Metal Caster in a Foundry
nutritionist,Nutritionist
opermgr,Operations manager
policewoman,Policewoman
profbbsitter,Professional Babysitter
radiooper,Radio operator
recattndsuper,Recreation Attendant Supervisor
resptherapist,Respiratory therapists
rrsignalmech,railroad signal mechanic
salesengnr,Sales Engineer
secguard,Security guard
sftwrdevel,Software developers
singer,Singer
soldier,soldier
sprypntrmfplnt,Spray Painter in a Manufacturing Plant
streetsweep,Street-Sweeper Operator
talentagnt,Talent Agent
technician,Technician
trainattn,train attendant
truckdisptchr,Truck Dispatcher
veterinarian,Veterinarian
webdevel,Web developers
winchoper,Winch Operator
wirplmchoper,wire pulling machine operator
advertexec,Advertising Executive
agrinspctor,Agricultural inspector
aircraftelec,aircraft electrician
airflighteng,Airline Flight Engineer
autowrecker,Auto Wrecker
bikemessenger,Bicycle Messenger
brokergeclerk,brokerage clerk
budgetanal,Budget analyst
cafsuper,Cafeteria supervisor
clergy,Clergy
clnngwoman,cleaning woman
coalminer,Coal Miner
compsuppspec,Computer support specialists
dentalhygienist,Dental Hygienist
depsheriff,Deputy Sheriff
designer,Designers
dntlcrwnbrgmkr,Dental Crown and Bridge Maker
dredgeoper,dredge operator
exercisether,exercise therapist
fenceinstlr,fence installer
generalmgr,General manager
hairstylist,hairstylist
hearaidtech,hearing aid technician
hunter,Hunter
hwymtncewrkr,Highway maintenance workers
kilmoperator,kiln oven operator
lndsvycrewaide,Aide on a Land Survey Crew
locksmith,Locksmith
locomoelec,locomotive electrician
machineoiler,Machine Oiler
mailorderclerk,Mail-Order Clerk
mchshopsuper,supervisor in a Machine Shop
millmachoper,milling machine operator
msteacher,Middle school teacher
mtlstmpmchoper,Metal-Stamping-Machine Operator
officeclerk,Office clerk
optician,Optician
piledriveroper,pile-driver operator
plumber,Plumber
pmpngsttnoper,Pumping station operator
prmanager,Public relations manager
prohealthther,Professionally Trained Health Therapist
prostheticaide,prosthetic aide
psychologist,Psychologist
qcengineer,Quality Control Engineer
senator,Senator
shipftrapprntce,ship fitter apprentice
shoefacmachoper,Machine Operator in a Shoe Factory
skldmtlwrkcftmn,Skilled Craftsman in a Metalworking Shop
statetrooper,State Trooper
tailor,Tailor
telegrphoper,Telegraph Operator
tickettaker,Ticket taker
tireretreader,Tire Retreader
vengluespreader,Veneer Glue Spreader
waiter,waiter
