massage,2.3139,0.9011,-1.5473,1.4011,2.2087,2.3293
strip,-1.4721,1.3294,0.9102,3.3395,2.1745,2.3798
exhaust,-0.7185,0.9000,1.0258,1.8157,1.6146,2.1160
distress,-2.1771,0.9065,0.9645,2.1363,2.6496,1.7057
summon,0.0235,1.8116,0.6146,1.2617,1.0073,2.0817
forsake,-2.2179,0.7837,-0.0388,1.5238,3.8593,3.0125
assist,3.2985,2.5712,0.5627,0.9771,1.4822,2.0880
dote on,0.5850,0.5282,0.3175,2.9061,1.9018,1.1095
victimize,-3.2514,0.8208,0.9279,1.4351,6.2474,3.0119
trick,-1.9288,0.6965,0.1881,1.2324,2.4987,2.6817
whisper to,0.4446,0.1154,-2.4481,0.6463,2.2809,1.6692
peek at,-1.3879,-0.6420,-0.9855,1.6933,2.0180,2.0602
evict,-1.7896,1.9662,0.8027,2.0570,1.4299,2.7016
reason with,2.7765,2.2169,-0.3442,1.0665,1.3995,2.4124
pay,2.1004,1.8685,-0.0285,1.6062,1.1090,2.6142
toast,1.9856,1.5760,1.6664,2.5005,1.7421,1.9849
welcome,3.1296,2.2000,1.2185,1.0165,1.6738,2.1395
provoke,-1.7831,1.0685,1.6054,1.5228,2.3069,1.5548
comply with,1.1082,0.0397,-0.5432,1.2950,2.6940,1.3747
scare,-1.4000,1.1898,1.7382,1.2423,2.3820,2.2751
harm,-3.2993,1.5036,1.2982,0.8914,6.3496,2.7971
terrorize,-3.7102,1.9618,1.6346,0.5781,6.1725,5.0370
free,2.7644,2.5003,0.4578,1.6898,2.4345,2.8021
enslave,-3.8007,2.2486,1.4729,0.9192,5.6360,4.3080
consult,1.8953,1.2186,-0.1000,1.1831,2.0836,1.1399
shock,-0.6411,1.3902,1.8789,1.7946,1.9670,1.3928
compensate,2.3564,1.5518,-0.0129,0.9619,1.5509,1.8955
remember,2.3564,1.9279,-0.0039,1.4294,1.3287,2.2319
question,0.6404,1.4713,0.5665,1.5030,1.2289,1.5140
seize,-1.9113,1.8362,1.7389,2.4342,2.7191,2.7048
hoodwink,-1.6746,0.6491,0.3737,1.1185,2.9940,2.7850
worship,0.1889,0.7311,0.2870,4.6530,7.0550,2.5139
interrogate,-0.8154,1.9904,0.9746,1.2688,2.2527,2.4207
grapple with,-0.8019,0.7981,1.5127,1.6285,2.1178,2.2323
consider,1.8950,1.3604,-0.1729,1.5983,1.6346,2.2196
look at,0.7706,0.5724,-0.2236,0.9465,1.4089,1.7810
disconcert,-1.3505,0.5169,0.0589,0.9509,1.8278,1.4094
fall in love with,3.0086,2.6490,0.7729,1.5637,4.2107,4.8454
hug,2.9851,2.1313,-0.2262,1.2421,1.6334,2.9815
grab,-1.2346,1.3954,1.6882,1.6315,2.1348,2.0224
cripple,-3.2832,1.7139,1.0871,2.3398,5.9403,4.9717
soothe,2.9226,2.1070,-1.6404,0.9015,1.4935,3.1132
bully,-3.5353,0.8949,1.5778,0.7667,7.9531,3.6861
hit,-2.6738,1.3873,2.1924,1.5891,3.9669,2.6625
scold,-1.2607,1.4418,1.5266,1.8046,1.9116,1.8917
