jeweler,identity, 11 010000000 000
job_seeker,identity, 11 010000000 000
jock,identity, 11 000010000 000
journalist,identity, 11 010100000 000
judge,identity, 11 001000000 000
junkie,identity, 11 101000000 000
juror,identity, 11 001000000 001
juvenile,identity, 11 001000010 000
kid,identity, 11 100000000 000
kidnapper,identity, 11 001000000 001
killjoy,identity, 11 100000000 000
klutz,identity, 11 100000000 000
know_it_all,identity, 11 100000000 000
kook,identity, 11 100000000 000
labor_union_leader,identity, 10 010000000 000
laborer,identity, 11 010000000 000
lackey,identity, 11 110100100 000
lady,identity, 01 100000000 000
laid_off_worker,identity, 11 010000000 000
landlady,identity, 01 010000000 000
landlord,identity, 10 010000000 000
law_student,identity, 11 001010000 000
lawyer,identity, 11 001000000 000
leader,identity, 11 110100100 000
lecturer,identity, 11 000010000 000
lesbian,identity, 01 000000001 000
liar,identity, 11 100000000 000
liberal,identity, 11 000100000 000
librarian,identity, 11 000010000 000
library_assistant,identity, 11 000010000 000
little_brother,identity, 10 000000010 000
little_sister,identity, 01 000000010 000
loafer,identity, 11 110000000 000
loan_shark,identity, 11 010000000 000
lobbyist,identity, 11 000100000 000
logger,identity, 10 010000000 000
loner,identity, 11 100000000 000
loser,identity, 11 100000000 000
louse,identity, 11 100000000 000
lout,identity, 11 100000000 000
lover,identity, 11 000000001 001
lunatic,identity, 11 100001000 000
machine_operator_in_a_factory,identity,11 010000000 000
machine_repairer,identity, 11 010000000 000
madman,identity, 10 100001000 000
mafioso,identity, 10 011000000 000
magician,identity, 11 010000100 000
maid,identity, 01 010000000 000
maiden,identity, 01 100000000 000
mail_carrier,identity, 11 010000000 000
malcontent,identity, 11 110010000 000
male,identity, 10 100000001 000
malingerer,identity, 11 110010000 000
man,identity, 10 100000001 000
manager,identity, 11 010000000 000
maniac,identity, 11 100001000 001
marine,identity, 11 000100000 001
mastermind,identity, 11 001100000 000
maverick,identity, 11 100000000 000
mayor,identity, 11 000100000 000
mechanical_engineer,identity, 11 010000000 000
medic,identity, 11 000001000 000
menace,identity, 11 100000000 000
mental_case,identity, 11 100001000 000
mental_patient,identity, 11 000001000 001
mentor,identity, 11 011111100 000
merchant,identity, 11 010000000 000
midget,identity, 11 100000000 000
migrant_worker,identity, 11 010000000 000
millionaire,identity, 11 010000000 000
miner,identity, 10 010000000 000
minister,identity, 11 000000100 000
