term,E,P,A,E2,P2,A2
mistress,1.42,0.53,-0.52,1.42,0.53,-0.52
mobster,-1.97,0.44,1.12,-1.97,0.44,1.12
moron,-1.56,-1.43,0.05,-1.56,-1.43,0.05
mother,3.08,2.66,-0.85,3.08,2.66,-0.85
mugger,-1.81,-0.15,0.69,-1.81,-0.15,0.69
murderer,-2.94,-0.78,1.66,-2.94,-0.78,1.66
murderess,-2.61,-0.83,1.69,-2.61,-0.83,1.69
negotiator,1.11,1.04,-0.06,1.11,1.04,-0.06
neighbor,1.02,-0.04,-0.24,1.02,-0.04,-0.24
nephewson_of_brother,2.05,0.5,0.1,2.05,0.5,0.1
nephewson_of_sister,1.44,-0.16,0.04,1.44,-0.16,0.04
neurotic,-1.34,-1.02,1.13,-1.34,-1.02,1.13
newlywed,1.87,0.88,-0.44,1.87,0.88,-0.44
niecedaughter_of_brother,1.42,0.42,-0.26,1.42,0.42,-0.26
niecedaughterofsister,1.34,0.07,-0.68,1.34,0.07,-0.68
nobody,-1.72,-1.99,-0.52,-1.72,-1.99,-0.52
nonsmoker,1.84,1.49,-1.22,1.84,1.49,-1.22
novice,1.19,-0.15,-0.64,1.19,-0.15,-0.64
nurse,2.02,1.71,-1.13,2.02,1.71,-1.13
office_boy,1.35,0.32,-0.94,1.35,0.32,-0.94
old_man,1.16,-1.05,-1.26,1.16,-1.05,-1.26
old_timer,1.31,-0.98,-1.29,1.31,-0.98,-1.29
opponent,-0.75,-0.11,0.51,-0.75,-0.11,0.51
opportunist,-2.33,-1.77,1.29,-2.33,-1.77,1.29
organizer,1.96,1.89,-1.1,1.96,1.89,-1.1
orphan,0.76,-0.35,-0.75,0.76,-0.35,-0.75
outlaw,-2.15,-1.07,1.57,-2.15,-1.07,1.57
pagan,-1.89,-1.89,0.22,-1.89,-1.89,0.22
pal,0.98,0.67,-0.51,0.98,0.67,-0.51
paranoid,-1.45,-0.56,1.37,-1.45,-0.56,1.37
parolee,0.69,0.41,0.18,0.69,0.41,0.18
passerby,1.13,0.56,-0.97,1.13,0.56,-0.97
pastor,-0.02,-0.11,-0.22,-0.02,-0.11,-0.22
patient,-1.07,-1.44,-1.55,-1.07,-1.44,-1.55
patriot,2.26,1.74,-0.79,2.26,1.74,-0.79
patrolman,1.54,1.96,0.09,1.54,1.96,0.09
pauper,0.43,-0.07,-0.41,0.43,-0.07,-0.41
pedestrian,1.26,0.46,-0.9,1.26,0.46,-0.9
pediatrician,2.14,1.34,-1.89,2.14,1.34,-1.89
pessimist,-1.84,-1.94,0.2,-1.84,-1.94,0.2
pest,-2.09,-1.39,1.92,-2.09,-1.39,1.92
pickpocket,-2.74,-1.44,0.86,-2.74,-1.44,0.86
pimp,-2.58,-1.34,1.71,-2.58,-1.34,1.71
plainclothesman,0.74,0.94,-0.18,0.74,0.94,-0.18
playmate,1.5,0.58,-0.14,1.5,0.58,-0.14
police_officer,0.78,1.47,1.25,0.78,1.47,1.25
politician,0.92,1.28,0.15,0.92,1.28,0.15
pornographer,-2.12,-1.52,1.07,-2.12,-1.52,1.07
practical_nurse,2.34,1.77,-0.68,2.34,1.77,-0.68
preacher,1.94,1.55,-1.14,1.94,1.55,-1.14
priest,-0.13,-0.15,-0.8,-0.13,-0.15,-0.8
priestess,0.21,-0.12,-0.7,0.21,-0.12,-0.7
private_eye,0.13,0.34,0.15,0.13,0.34,0.15
probationer,-1.2,-0.63,0.02,-1.2,-0.63,0.02
professor,1.84,1.64,-0.24,1.84,1.64,-0.24
protege,0,-0.26,-0.11,0,-0.26,-0.11
protester,0.53,1.04,0.78,0.53,1.04,0.78
psychiatrist,1.55,1.54,-1.87,1.55,1.54,-1.87
psychopath,-1.33,-1.14,1.15,-1.33,-1.14,1.15
psychotic,-1.29,-0.82,-0.53,-1.29,-0.82,-0.53
public_defender,2.72,2.23,-0.78,2.72,2.23,-0.78
pupil,1.61,0.54,-0.16,1.61,0.54,-0.16
purchaser,1.15,0.83,0.32,1.15,0.83,0.32
rabbi,-0.69,-0.25,0.01,-0.69,-0.25,0.01
racist,-2.35,-1.7,1.49,-2.35,-1.7,1.49
racketeer,-2.17,-0.86,1.41,-2.17,-0.86,1.41
rapist,-2.41,-1.57,1.66,-2.41,-1.57,1.66
receptionistf,1.67,0.77,-0.71,1.67,0.77,-0.71
receptionistm,1.52,1.01,-1.07,1.52,1.01,-1.07
registered_nurse,1.33,0.78,-0.16,1.33,0.78,-0.16
relative,1.93,0.98,-0.9,1.93,0.98,-0.9
retiree,0.86,0.14,-0.66,0.86,0.14,-0.66
right_hand_man,1.08,0.45,-0.36,1.08,0.45,-0.36
right_winger,0.66,0.58,0.03,0.66,0.58,0.03
rival,1.34,1.57,0.51,1.34,1.57,0.51
robber,-2.95,-1.21,1.44,-2.95,-1.21,1.44
rolemodel,2.29,2.14,-1.12,2.29,2.14,-1.12
roommate,1.41,0.62,-0.2,1.41,0.62,-0.2
saint,0.54,0.14,-0.84,0.54,0.14,-0.84
saleslady,1.77,1.48,-0.3,1.77,1.48,-0.3
salesman,1.82,1.12,-0.19,1.82,1.12,-0.19
schizophrenic,-0.78,-1.08,0.42,-0.78,-1.08,0.42
scholar,2.39,1.82,-0.97,2.39,1.82,-0.97
schoolgirl,2.02,1,-0.54,2.02,1,-0.54
schoolmate,1.97,1.17,-0.08,1.97,1.17,-0.08
schoolteacher,1.51,1.32,0.38,1.51,1.32,0.38
scientist,1.89,1.63,-0.87,1.89,1.63,-0.87
scrooge,-1.77,-1.59,1.1,-1.77,-1.59,1.1
secretaryf,1.93,0.22,-0.87,1.93,0.22,-0.87
secretarym,1.16,0.81,0.08,1.16,0.81,0.08
senior_citizen,1.53,-0.08,-1.34,1.53,-0.08,-1.34
serial_murderer,-2.92,0.48,1.65,-2.92,0.48,1.65
server,1.2,0.96,-0.83,1.2,0.96,-0.83
sexist,0,0.2,-0.14,0,0.2,-0.14
sheriff,0.4,0.78,0.65,0.4,0.78,0.65
shopkeeper,1.11,1.3,-0.33,1.11,1.3,-0.33
shoplifter,-2,-1.05,0.93,-2,-1.05,0.93
shopper,1.41,0.67,-0.44,1.41,0.67,-0.44
sibling,2.66,0.96,-0.42,2.66,0.96,-0.42
sickperson,-0.49,-1.46,-1.15,-0.49,-1.46,-1.15
sinner,-1.77,-1.19,0.85,-1.77,-1.19,0.85
sister,2.14,1.2,-0.5,2.14,1.2,-0.5
skilled_worker,2.21,1.55,-0.48,2.21,1.55,-0.48
skirt_chaser,-1.78,-1.46,1.24,-1.78,-1.46,1.24
slut,-2.08,-1.34,1.5,-2.08,-1.34,1.5
small_businessman,1.67,1.28,-0.28,1.67,1.28,-0.28
